date,open,high,low,close
2022-02-24 16:00:00,800.77,803.0,800.11,802.0
2022-02-24 15:59:00,800.04,801.67,800.0,800.35
2022-02-24 15:58:00,799.85,800.36,799.2463,800.12
2022-02-24 15:57:00,800.34,801.0,799.11,799.7179
2022-02-24 15:56:00,800.28,801.37,800.1458,800.34
2022-02-24 15:55:00,801.59,802.48,799.0801,800.555
2022-02-24 15:54:00,800.9,802.3599,800.07,801.545
2022-02-24 15:53:00,798.83,801.1999,798.83,800.9211
2022-02-24 15:52:00,797.65,799.0,797.505,798.8299
2022-02-24 15:51:00,797.73,798.0,796.75,797.37
2022-02-24 15:50:00,793.31,797.7654,793.25,797.42
2022-02-24 15:49:00,793.01,793.78,792.13,792.975
2022-02-24 15:48:00,791.14,794.0,790.9094,793.2
2022-02-24 15:47:00,792.585,792.843,790.83,791.1
2022-02-24 15:46:00,793.31,793.4499,791.13,792.13
2022-02-24 15:45:00,792.51,793.455,790.36,792.9507
2022-02-24 15:44:00,795.27,795.61,792.46,792.62
2022-02-24 15:43:00,794.71,796.6599,794.14,795.55
2022-02-24 15:42:00,796.04,796.69,794.8,794.89
2022-02-24 15:41:00,794.2268,796.81,794.2268,795.9
2022-02-24 15:40:00,795.595,795.6,793.43,794.31
2022-02-24 15:39:00,795.01,796.2299,794.5762,795.595
2022-02-24 15:38:00,795.51,796.83,794.52,795.2225
2022-02-24 15:37:00,794.6941,796.0,794.67,795.69
2022-02-24 15:36:00,795.05,795.32,794.1,794.69
2022-02-24 15:35:00,794.79,795.29,793.08,795.2
2022-02-24 15:34:00,793.415,795.0,792.8,794.745
2022-02-24 15:33:00,790.6799,793.58,789.88,793.51
2022-02-24 15:32:00,789.45,790.68,788.38,789.9871
2022-02-24 15:31:00,787.1,789.7199,786.25,789.1301
2022-02-24 15:30:00,784.98,787.63,784.8325,786.9899
2022-02-24 15:29:00,787.01,787.01,784.28,784.97
2022-02-24 15:28:00,786.38,789.0,786.2464,787.2326
2022-02-24 15:27:00,788.02,788.5,785.58,786.87
2022-02-24 15:26:00,786.37,788.38,786.25,788.26
2022-02-24 15:25:00,786.08,786.8999,785.5,786.574
2022-02-24 15:24:00,786.5301,787.0,785.82,786.21
2022-02-24 15:23:00,785.195,787.1099,784.81,786.5229
2022-02-24 15:22:00,785.09,785.44,784.4441,785.18
2022-02-24 15:21:00,784.1801,785.26,784.15,784.645
2022-02-24 15:20:00,787.18,787.36,783.5,784.296
2022-02-24 15:19:00,785.0,787.0,784.985,786.82
2022-02-24 15:18:00,784.03,785.17,783.5001,785.0
2022-02-24 15:17:00,783.95,784.4899,783.2401,784.23
2022-02-24 15:16:00,785.36,785.475,783.24,784.39
2022-02-24 15:15:00,785.63,785.8327,784.99,785.4041
2022-02-24 15:14:00,784.6978,786.1199,784.68,785.9799
2022-02-24 15:13:00,784.8,785.5499,784.2481,784.999
2022-02-24 15:12:00,782.99,784.8,782.51,784.78
2022-02-24 15:11:00,783.95,784.0,781.72,782.7431
2022-02-24 15:10:00,783.3,784.3,782.5701,783.5424
2022-02-24 15:09:00,785.54,786.16,783.2,783.515
2022-02-24 15:08:00,783.9475,786.45,783.72,785.9463
2022-02-24 15:07:00,783.4177,784.43,782.5,784.22
2022-02-24 15:06:00,783.98,785.1499,782.5,783.0924
2022-02-24 15:05:00,784.0,784.4432,782.8758,784.0
2022-02-24 15:04:00,780.97,784.7299,780.715,784.35
2022-02-24 15:03:00,779.967,781.09,779.06,781.09
2022-02-24 15:02:00,776.54,781.2085,776.15,779.87
2022-02-24 15:01:00,776.25,776.6,775.1,776.375
2022-02-24 15:00:00,776.435,777.48,775.51,775.6
2022-02-24 14:59:00,775.405,776.7199,775.0,776.7199
2022-02-24 14:58:00,776.11,776.29,774.5,775.205
2022-02-24 14:57:00,776.1755,776.9999,775.59,776.465
2022-02-24 14:56:00,776.45,776.52,774.9,776.3499
2022-02-24 14:55:00,778.3401,778.9699,774.7601,776.15
2022-02-24 14:54:00,777.36,779.2,776.6,778.4308
2022-02-24 14:53:00,776.41,777.77,776.3,777.42
2022-02-24 14:52:00,775.54,776.792,774.04,776.67
2022-02-24 14:51:00,776.93,777.07,773.8,775.3462
2022-02-24 14:50:00,776.51,777.66,774.4056,776.93
2022-02-24 14:49:00,776.96,777.0,775.5,776.5447
2022-02-24 14:48:00,774.62,777.2399,773.6,776.97
2022-02-24 14:47:00,778.09,778.2098,773.98,774.3899
2022-02-24 14:46:00,775.598,778.82,775.598,777.6643
2022-02-24 14:45:00,775.36,777.428,775.2307,775.985
2022-02-24 14:44:00,775.55,776.62,774.5,775.13
2022-02-24 14:43:00,777.85,778.48,775.5,775.54
2022-02-24 14:42:00,776.54,778.59,776.165,777.75
2022-02-24 14:41:00,776.69,776.9246,774.695,776.46
2022-02-24 14:40:00,779.7362,779.8,775.32,776.5533
2022-02-24 14:39:00,779.19,779.68,776.9,779.68
2022-02-24 14:38:00,776.6,779.54,776.6,778.8911
2022-02-24 14:37:00,776.29,777.89,775.43,776.88
2022-02-24 14:36:00,773.97,776.6295,773.16,776.6295
2022-02-24 14:35:00,775.58,777.0,773.585,773.815
2022-02-24 14:34:00,774.31,776.9799,774.31,775.666
2022-02-24 14:33:00,772.23,774.9,771.55,774.3589
2022-02-24 14:32:00,771.535,774.9,771.08,772.1379
2022-02-24 14:31:00,773.02,773.3,770.74,771.2
2022-02-24 14:30:00,766.87,774.4,766.58,773.0201
2022-02-24 14:29:00,766.655,767.74,764.25,766.6101
2022-02-24 14:28:00,766.5822,768.0,764.45,766.656
2022-02-24 14:27:00,764.04,767.89,761.4534,766.425
2022-02-24 14:26:00,764.05,764.545,760.9401,764.33
2022-02-24 14:25:00,760.42,768.0,760.42,763.84
2022-02-24 14:24:00,756.09,761.3799,755.4,760.33
2022-02-24 14:23:00,761.015,767.095,756.03,756.202
2022-02-24 14:22:00,774.1301,775.14,756.2,761.015
2022-02-24 14:21:00,771.29,774.8,771.29,774.42
2022-02-24 14:20:00,771.62,772.4,770.3601,771.28
2022-02-24 14:19:00,771.2436,772.0,770.7321,771.38
2022-02-24 14:18:00,768.93,771.2899,768.25,771.2899
2022-02-24 14:17:00,770.5829,771.5799,768.8,768.8593
2022-02-24 14:16:00,770.145,771.86,769.61,770.925
2022-02-24 14:15:00,769.505,772.23,769.3901,769.7356
2022-02-24 14:14:00,768.51,769.69,767.0201,769.465
2022-02-24 14:13:00,766.2,768.65,765.32,767.95
2022-02-24 14:12:00,766.4721,766.4721,764.17,766.2
2022-02-24 14:11:00,766.3374,767.75,765.5,766.65
2022-02-24 14:10:00,763.92,766.5248,763.58,766.5
2022-02-24 14:09:00,766.38,766.6499,762.07,763.39
2022-02-24 14:08:00,764.47,766.66,764.03,766.01
2022-02-24 14:07:00,762.03,764.9755,762.03,764.49
2022-02-24 14:06:00,765.0317,765.245,760.73,761.8906
2022-02-24 14:05:00,764.9999,766.0,764.0,764.9801
2022-02-24 14:04:00,763.47,764.53,762.34,764.53
2022-02-24 14:03:00,762.69,765.45,762.35,763.34
2022-02-24 14:02:00,761.96,763.3299,761.4652,762.2584
2022-02-24 14:01:00,764.08,764.66,761.21,761.4601
2022-02-24 14:00:00,765.11,766.4344,763.51,763.67
2022-02-24 13:59:00,765.7,767.0,764.95,765.37
2022-02-24 13:58:00,768.02,768.62,764.64,765.6419
2022-02-24 13:57:00,767.37,768.73,766.73,768.09
2022-02-24 13:56:00,767.95,770.0,767.135,767.37
2022-02-24 13:55:00,770.0,770.35,767.4,767.9501
2022-02-24 13:54:00,772.81,773.43,769.18,770.25
2022-02-24 13:53:00,771.15,773.2199,770.6,772.3
2022-02-24 13:52:00,774.3,774.54,770.25,770.7201
2022-02-24 13:51:00,774.49,775.2899,772.73,774.1299
2022-02-24 13:50:00,776.33,777.0,772.61,774.9399
2022-02-24 13:49:00,772.84,776.96,772.42,776.91
2022-02-24 13:48:00,767.53,773.23,767.53,772.3
2022-02-24 13:47:00,769.4899,769.4899,766.45,767.83
2022-02-24 13:46:00,764.0799,770.0,763.915,768.475
2022-02-24 13:45:00,765.06,765.6371,763.0701,763.75
2022-02-24 13:44:00,767.46,769.2,764.34,765.0925
2022-02-24 13:43:00,768.15,769.69,767.58,767.62
2022-02-24 13:42:00,767.855,769.0,766.78,768.37
2022-02-24 13:41:00,769.83,770.4299,767.27,767.8484
2022-02-24 13:40:00,768.44,770.5,768.3,769.73
2022-02-24 13:39:00,768.9,769.34,767.73,768.2859
2022-02-24 13:38:00,768.67,769.48,766.2301,768.8604
2022-02-24 13:37:00,765.61,768.68,765.5,768.2461
2022-02-24 13:36:00,762.63,766.0,761.64,765.864
2022-02-24 13:35:00,759.96,762.97,759.01,762.3434
2022-02-24 13:34:00,759.2474,760.23,759.01,760.03
2022-02-24 13:33:00,758.74,760.975,758.68,759.77
2022-02-24 13:32:00,759.3,759.5,758.3601,759.0
2022-02-24 13:31:00,758.6627,759.29,758.36,759.0
2022-02-24 13:30:00,756.7601,759.9,756.7601,758.34
2022-02-24 13:29:00,757.23,758.05,756.1001,756.3
2022-02-24 13:28:00,759.66,760.4899,757.0,757.2224
2022-02-24 13:27:00,759.0975,760.62,758.2601,759.44
2022-02-24 13:26:00,758.57,759.0,757.25,759.0
2022-02-24 13:25:00,759.0,759.65,758.25,758.56
2022-02-24 13:24:00,760.22,760.22,758.22,758.84
2022-02-24 13:23:00,760.54,760.63,759.18,759.8568
2022-02-24 13:22:00,759.9863,760.4999,758.88,760.4999
2022-02-24 13:21:00,762.545,762.7999,759.25,759.51
2022-02-24 13:20:00,761.0202,762.53,760.38,762.4774
2022-02-24 13:19:00,761.24,762.12,760.58,760.9
2022-02-24 13:18:00,759.68,762.9299,759.43,761.3999
2022-02-24 13:17:00,759.69,759.7,757.8501,759.32
2022-02-24 13:16:00,760.7827,760.7827,758.66,759.0101
2022-02-24 13:15:00,761.3769,761.74,760.61,760.65
2022-02-24 13:14:00,761.51,761.73,760.0,761.73
2022-02-24 13:13:00,762.0,762.61,761.2301,761.645
2022-02-24 13:12:00,759.9999,762.19,759.9301,762.03
2022-02-24 13:11:00,757.15,760.65,756.27,759.775
2022-02-24 13:10:00,757.6,758.4199,756.54,757.0901
2022-02-24 13:09:00,757.49,758.5019,756.619,758.14
2022-02-24 13:08:00,757.0,757.84,756.0,757.17
2022-02-24 13:07:00,758.86,758.9941,756.4697,757.3939
2022-02-24 13:06:00,755.62,759.1,755.39,759.05
2022-02-24 13:05:00,755.0,756.7989,754.52,755.6199
2022-02-24 13:04:00,752.38,755.74,751.7,755.235
2022-02-24 13:03:00,753.6153,754.15,751.56,752.6962
2022-02-24 13:02:00,752.2853,754.2399,751.73,753.8099
2022-02-24 13:01:00,750.9099,752.55,750.71,752.02
2022-02-24 13:00:00,752.905,753.1199,750.5,750.54
2022-02-24 12:59:00,754.34,755.0,751.73,752.53
2022-02-24 12:58:00,754.885,755.7799,754.0,755.04
2022-02-24 12:57:00,758.08,758.1499,754.35,754.804
2022-02-24 12:56:00,755.35,758.725,754.07,758.08
2022-02-24 12:55:00,755.8435,755.8435,754.3638,754.89
2022-02-24 12:54:00,754.67,756.49,754.02,755.52
2022-02-24 12:53:00,755.0323,755.19,753.4,754.7807
2022-02-24 12:52:00,755.4585,755.5,754.71,755.11
2022-02-24 12:51:00,755.36,756.7068,754.58,755.25
2022-02-24 12:50:00,754.52,755.9499,753.6201,755.0
2022-02-24 12:49:00,756.565,757.04,753.6531,754.44
2022-02-24 12:48:00,756.7458,757.0794,755.3401,756.8
2022-02-24 12:47:00,756.03,756.82,755.0003,756.485
2022-02-24 12:46:00,758.21,758.46,756.03,756.03
2022-02-24 12:45:00,758.34,759.6,757.67,758.27
2022-02-24 12:44:00,758.86,759.29,757.33,757.6876
2022-02-24 12:43:00,758.54,759.8699,758.54,759.31
2022-02-24 12:42:00,760.0,760.025,757.2101,757.5925
2022-02-24 12:41:00,762.4999,762.68,759.0701,760.2
